OPCODE,OPERAND,MACHINE CODE,BYTES
NOPE,,0x0000,1
HLT,,0x0001,1
MOV,"A,B",0x0002,1
MOV,"A,C",0x0003,1
MOV,"A,D",0x0004,1
MOV,"A,H",0x0005,1
MOV,"A,L",0x0006,1
MOV,"A,M",0x0007,1
MOV,"B,A",0x0008,1
MOV,"B,C",0x0009,1
MOV,"B,D",0x000A,1
MOV,"B,H",0x000B,1
MOV,"B,L",0x000C,1
MOV,"B,M",0x000D,1
MOV,"C,A",0x000E,1
MOV,"C,B",0x000F,1
MOV,"C,D",0x0010,1
MOV,"C,H",0x0011,1
MOV,"C,L",0x0012,1
MOV,"C,M",0x0013,1
MOV,"D,A",0x0014,1
MOV,"D,B",0x0015,1
MOV,"D,C",0x0016,1
MOV,"D,H",0x0017,1
MOV,"D,L",0x0018,1
MOV,"D,M",0x0019,1
MOV,"H,A",0x001A,1
MOV,"H,B",0x001B,1
MOV,"H,C",0x001C,1
MOV,"H,D",0x001D,1
MOV,"H,L",0x001E,1
MOV,"H,M",0x001F,1
MOV,"L,A",0x0020,1
MOV,"L,B",0x0021,1
MOV,"L,C",0x0022,1
MOV,"L,D",0x0023,1
MOV,"L,H",0x0024,1
MOV,"L,M",0x0025,1
MOV,"M,A",0x0026,1
MOV,"M,B",0x0027,1
MOV,"M,C",0x0028,1
MOV,"M,D",0x0029,1
MOV,"M,H",0x002A,1
MOV,"M,L",0x002B,1
MVI,"B,DATA",0x0028,2
MVI,"C,DATA",0x0029,2
MVI,"D,DATA",0x002A,2
MVI,"H,DATA",0x002B,2
MVI,"L,DATA",0x002C,2
MVI,"M,DATA",0x002D,2
LDA,ADDRESS,0x002E,3
LDI,DATA,0x002F,2
STR,"B,ADDRESS",0x0030,3
STR,"C,ADDRESS",0x0031,3
STR,"D,ADDRESS",0x0032,3
STR,"M,ADDRESS",0x0033,3
STA,ADDRESS,0x0034,3
PUSH,A,0x0035,1
PUSH,"B,",0x0036,1
PUSH,"C,",0x0037,1
PUSH,"D,",0x0038,1
PUSH,"M,",0x0039,1
POP,A,0x003A,1
POP,"B,",0x003B,1
POP,"C,",0x003C,1
POP,"D,",0x003D,1
POP,"M,",0x003E,1
LDX,,,1
STX,,,1
LDHL,imm16,,3
PCHL,,,1
SPHL,,,1
JMP,ADDRESS,0x0044,3
JC,ADDRESS,0x0045,3
JNC,ADDRESS,0x0046,3
JZ,ADDRESS,0x0047,3
JNZ,ADDRESS,0x0048,3
JP,ADDRESS,0x0049,3
JM,ADDRESS,0x004A,3
JE,ADDRESS,0x004B,3
JO,ADDRESS,,3
CALL,ADDRESS,0x004D,3
CC,ADDRESS,0x004E,3
CNC,ADDRESS,0x004F,3
CZ,ADDRESS,0x0050,3
CNZ,ADDRESS,0x0051,3
CP,ADDRESS,,3
CM,ADDRESS,,3
CE,ADDRESS,,3
CO,ADDRESS,,3
RET,,0x0056,1
RC,,0x0057,1
RNC,,0x0058,1
RZ,,0x0059,1
RNZ,,0x005A,1
RP,,,1
RM,,,1
RE,,,1
RO,,,1
